City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,puerto ayora,-0.7393,-90.3518,26.47,81,100,2.94,EC
1,pemangkat,1.1667,108.9667,26.94,83,100,1.78,ID
2,invercargill,-46.4,168.35,11.73,93,100,2.7,NZ
3,emerald,-23.5333,148.1667,29.53,40,100,2.8,AU
4,forster,-32.1667,152.5167,22.34,84,98,8.14,AU
5,port-aux-francais,-49.35,70.2167,7.81,94,100,12.75,TF
6,zambezi,-13.5432,23.1047,28.77,58,100,3.01,ZM
7,port elizabeth,-33.918,25.5701,29.0,53,100,8.63,ZA
8,eforie sud,44.0229,28.6494,14.47,44,55,0.92,RO
9,san clemente del tuyu,-36.3569,-56.7235,26.16,67,0,4.26,AR
10,whitehorse,60.7161,-135.0538,-5.55,96,99,3.61,CA
11,bethel,41.3712,-73.414,9.47,87,76,3.54,US
12,isafjordur,66.0755,-23.124,-0.75,81,100,2.56,IS
13,la villa del rosario,10.3258,-72.3134,27.49,63,100,4.51,VE
14,yellowknife,62.456,-114.3525,-28.28,100,100,2.5,CA
15,georgetown,5.4112,100.3354,27.08,80,100,2.3,MY
16,matthew town,20.95,-73.6667,25.65,75,0,2.53,BS
17,adamstown,-25.066,-130.1015,25.5,76,9,3.14,PN
18,vila velha,-20.3297,-40.2925,27.4,65,91,2.89,BR
19,la'ie,21.6477,-157.9253,23.07,82,7,9.99,US
20,turpan,42.9333,89.1667,7.94,29,0,1.35,CN
21,magistral'nyy,56.1725,107.4458,-7.73,97,100,1.17,RU
22,college,64.8569,-147.8028,-4.43,93,100,1.42,US
23,karaton,-6.3424,106.1045,23.04,97,94,1.94,ID
24,iqaluit,63.7506,-68.5145,-27.89,92,63,2.36,CA
25,edinburgh of the seven seas,-37.0676,-12.3116,16.88,69,89,5.07,SH
26,ola,59.5833,151.2833,-21.25,98,100,1.75,RU
27,polyarnyy,69.1989,33.4478,-4.02,86,78,1.87,RU
28,qiancheng,27.185,109.7654,7.64,81,99,1.67,CN
29,luganville,-15.5333,167.1667,26.4,83,100,2.22,VU
30,colonia,50.9333,6.95,17.65,30,19,3.82,DE
31,iwanai,42.9744,140.5089,-0.71,83,100,3.86,JP
32,punta arenas,-53.15,-70.9167,7.64,72,7,0.77,CL
33,waitangi,-43.9535,-176.5597,14.24,89,100,13.45,NZ
34,ingeniero jacobacci,-41.3427,-69.5448,19.21,41,95,10.56,AR
35,grytviken,-54.2811,-36.5092,3.88,94,100,7.21,GS
36,cadale,2.7603,46.3222,33.09,43,5,8.77,SO
37,saint-philippe,-21.3585,55.7679,28.27,72,0,4.02,RE
38,mayya,61.7333,130.2811,-30.47,100,100,1.17,RU
39,kill devil hills,36.0307,-75.676,7.72,80,100,8.92,US
40,cangzhou,38.3167,116.8667,6.49,33,100,3.8,CN
41,trenggalek,-8.05,111.7167,24.87,94,92,0.02,ID
42,hawaiian paradise park,19.5933,-154.9731,23.18,65,76,5.09,US
43,sao gabriel da cachoeira,-0.1303,-67.0892,27.01,75,14,1.72,BR
44,pont rouge,48.8833,-72.0825,1.43,100,100,4.98,CA
45,bredasdorp,-34.5322,20.0403,28.38,37,0,7.1,ZA
46,lensk,60.7253,114.9278,-10.53,94,100,2.65,RU
47,qaqortoq,60.7167,-46.0333,-12.91,71,100,0.48,GL
48,akrehamn,59.2667,5.1833,5.5,100,100,4.79,NO
49,punta del este,-34.9667,-54.95,28.34,54,2,3.98,UY
50,puerto natales,-51.7236,-72.4875,7.66,78,100,1.37,CL
51,saldanha,-33.0117,17.9442,19.66,83,0,6.29,ZA
52,bamboo flat,11.7,92.7167,27.0,61,100,4.69,IN
53,al mindak,20.1588,41.2834,15.98,69,47,6.85,SA
54,malaryta,51.7905,24.074,15.68,31,0,5.5,BY
55,road town,18.4167,-64.6167,24.84,78,10,4.58,VG
56,longyearbyen,78.2186,15.6401,-10.63,93,100,1.25,SJ
57,kingston,17.997,-76.7936,25.08,76,0,0.95,JM
58,micheweni,-4.9667,39.8333,28.62,70,5,5.31,TZ
59,papatowai,-46.5619,169.4708,12.47,95,99,2.59,NZ
60,kudahuvadhoo,2.6708,72.8944,28.17,70,7,4.56,MV
61,punxsutawney,40.9437,-78.9709,-1.75,85,100,7.52,US
62,pribram,49.6899,14.0104,14.77,42,2,1.08,CZ
63,jamestown,42.097,-79.2353,-3.09,87,100,8.09,US
64,la passe,45.5549,-0.8967,15.72,63,12,6.74,FR
65,tiksi,71.6872,128.8694,-25.16,99,100,2.98,RU
66,ribeira grande,38.5167,-28.7,12.66,78,100,12.84,PT
67,ilulissat,69.2167,-51.1,-27.17,97,58,1.36,GL
68,yarovoye,52.9273,78.58,-0.22,82,100,8.67,RU
69,douentza,14.9951,-2.9517,38.97,10,100,9.63,ML
70,leticia,-4.2153,-69.9406,26.49,82,43,0.74,CO
71,sassandra,4.95,-6.0833,33.24,49,100,3.44,CI
72,avarua,-21.2078,-159.775,26.96,74,100,5.9,CK
73,saipan,15.1355,145.701,27.33,80,9,4.84,MP
74,red oak,32.5176,-96.8044,5.9,56,82,3.11,US
75,gadzhiyevo,69.2551,33.3362,-4.17,89,92,1.51,RU
76,st. john's,47.5649,-52.7093,-2.15,80,100,4.25,CA
77,brisas de zicatela,15.8369,-97.0419,24.06,57,6,1.71,MX
78,belle fourche,44.6714,-103.8522,-1.23,84,100,0.4,US
79,ushuaia,-54.8,-68.3,7.0,87,21,1.53,AR
80,mirabad,30.4362,61.8383,23.47,14,100,3.29,AF
81,al marj,32.488,20.8317,18.96,36,5,3.41,LY
82,port alfred,-33.5906,26.891,29.49,58,4,7.62,ZA
83,cromwell,41.5951,-72.6454,9.31,98,100,2.01,US
84,dudinka,69.4058,86.1778,-11.88,97,100,1.8,RU
85,wailua homesteads,22.0669,-159.378,21.05,88,10,5.32,US
86,oyama,36.3,139.8,6.73,47,100,3.59,JP
87,talnakh,69.4865,88.3972,-11.31,95,100,2.56,RU
88,udachny,66.4167,112.4,-22.66,100,100,1.52,RU
89,hadibu,12.65,54.0333,25.45,79,0,7.64,YE
90,iskateley,67.6803,53.1512,-7.25,91,94,6.0,RU
91,ust'-kut,56.7938,105.7672,-7.46,97,100,1.63,RU
92,lebu,-37.6167,-73.65,17.17,90,100,6.63,CL
93,atbasar,51.8,68.3333,-2.04,97,95,3.93,KZ
94,xilin hot,43.9667,116.0333,-2.09,46,100,3.78,CN
95,port mathurin,-19.6833,63.4167,27.66,83,6,10.43,MU
96,leh,34.1667,77.5833,-17.03,92,58,1.97,IN
97,pisco,-13.7,-76.2167,22.15,81,85,0.66,PE
98,chuguyevka,44.1653,133.8633,-8.47,62,6,1.67,RU
99,hell-ville,-13.4,48.2667,28.98,73,100,5.33,MG
100,beberibe,-4.1797,-38.1306,28.9,67,100,4.6,BR
101,formosa do rio preto,-11.0483,-45.1931,29.59,45,99,3.35,BR
102,darlowo,54.421,16.4107,8.93,61,0,5.57,PL
103,klyuchi,52.2667,79.1667,-0.61,80,100,9.24,RU
104,albany,42.6001,-73.9662,6.31,88,100,3.65,US
105,happy valley-goose bay,53.3168,-60.3315,-13.39,82,100,1.48,CA
106,ternate,0.8,127.4,26.14,85,100,3.92,ID
107,yoloten,37.2989,62.3597,16.2,24,100,4.22,TM
108,newman,37.3138,-121.0208,5.59,90,100,2.72,US
109,pierre,44.3683,-100.351,-0.66,91,67,2.7,US
110,mowad,21.4667,78.4333,27.69,8,0,3.77,IN
111,raduzhny,62.0961,77.475,-11.82,92,85,5.37,RU
112,homer,59.6425,-151.5483,2.5,69,75,5.67,US
113,la manga del mar menor,37.6413,-0.7165,16.2,82,25,5.68,ES
114,qamdo,31.1667,97.2333,-7.47,50,0,2.21,CN
115,constantia,44.1833,28.65,13.95,44,39,1.76,RO
116,margaret river,-33.95,115.0667,19.11,77,0,3.36,AU
117,hamilton,39.1834,-84.5333,-1.14,80,95,5.27,US
118,susuman,62.7833,148.1667,-37.07,99,74,1.69,RU
119,konstantinovsk,47.5828,41.0922,9.93,66,34,7.78,RU
120,sitka,57.0531,-135.33,3.67,97,100,2.55,US
121,bousso,10.4795,16.7117,40.95,7,100,2.87,TD
122,minas de marcona,-15.2119,-75.1103,18.15,84,100,2.57,PE
123,broome,42.2506,-75.833,1.86,84,62,3.75,US
124,vallenar,-28.5708,-70.7581,20.71,58,0,1.82,CL
125,yingshang chengguanzhen,32.6295,116.2701,7.04,59,100,3.0,CN
126,zelenokumsk,44.4069,43.8806,9.46,55,100,10.68,RU
127,hermanus,-34.4187,19.2345,25.98,49,0,3.84,ZA
128,arawa,-6.2132,155.5367,27.66,72,100,1.41,PG
129,mount gambier,-37.8333,140.7667,18.01,82,100,5.25,AU
130,dzilam gonzalez,21.2833,-88.9333,22.2,60,0,2.47,MX
131,maintirano,-18.0667,44.0167,29.88,79,9,5.91,MG
132,vadso,70.0744,29.7487,-3.22,82,93,2.66,NO
133,thompson,55.7435,-97.8558,-22.67,94,100,4.47,CA
134,al ghayzah,16.2079,52.176,26.33,66,0,5.78,YE
135,petropavlovsk-kamchatsky,53.0452,158.6483,-14.93,73,40,3.93,RU
136,molchanovo,57.5817,83.7692,-5.63,89,100,5.13,RU
137,port saint john's,-31.6229,29.5448,36.48,45,0,1.94,ZA
138,holualoa,19.6228,-155.9522,21.32,72,0,3.85,US
139,priob'ye,62.5206,65.5964,-10.4,91,100,2.96,RU
140,plastun,44.7561,136.2939,-6.04,49,7,3.45,RU
141,kandahar,31.0,65.75,17.8,31,2,3.69,AF
142,chui,-33.6971,-53.4616,29.41,58,0,3.32,UY
143,zhanibek,49.4167,46.85,2.31,100,99,8.33,KZ
144,anadyr,64.75,177.4833,-27.69,96,6,4.16,RU
145,ar raqqah,35.95,39.0167,18.01,37,0,0.42,SY
146,zaozersk,69.4005,32.4476,-4.21,93,99,1.45,RU
147,lebyazh'ye,55.2689,66.4947,-5.4,97,98,2.92,RU
148,zapata,26.9073,-99.2714,14.51,81,5,6.39,US
149,shwebo,22.5667,95.7,27.84,24,0,1.17,MM
150,ajaccio,42.0,8.9167,14.65,44,100,0.85,FR
151,san luis de la loma,17.2706,-100.8939,21.49,65,1,1.79,MX
152,okhotsk,59.3833,143.3,-24.71,84,100,2.91,RU
153,carnarvon,-24.8667,113.6333,27.58,66,0,11.56,AU
154,san antonio de pale,-1.4014,5.6325,27.72,77,100,5.7,GQ
155,yoko,5.5333,12.3167,36.09,16,97,2.69,CM
156,mezhdurechenskiy,59.6,65.9333,-7.98,94,100,3.04,RU
157,port alberni,49.2413,-124.8028,1.7,92,1,0.04,CA
158,vorgashor,67.5833,63.95,-20.6,100,81,2.29,RU
159,nemuro,43.3236,145.575,-1.64,94,100,5.91,JP
160,uturoa,-16.7333,-151.4333,27.97,74,42,4.91,PF
161,batesville,35.7698,-91.641,0.45,69,93,2.06,US
162,coquimbo,-29.9533,-71.3436,18.6,78,0,1.76,CL
163,new norfolk,-42.7826,147.0587,9.07,97,1,0.56,AU
164,kapuskasing,49.4169,-82.4331,-15.21,95,100,5.41,CA
165,greymouth,-42.4667,171.2,10.26,94,19,2.2,NZ
166,karungdong,5.8844,121.263,25.66,88,100,2.97,PH
167,santa ana,33.7456,-117.8678,11.06,75,100,8.03,US
168,atafu village,-8.5421,-172.5159,27.62,72,68,2.81,TK
169,vernon,50.2581,-119.2691,1.29,99,100,0.76,CA
170,blackmans bay,-43.0167,147.3167,12.48,79,49,1.7,AU
171,sao joao da barra,-21.6403,-41.0511,26.69,69,7,1.49,BR
172,acarau,-2.8856,-40.12,28.15,71,100,7.13,BR
173,opuwo,-18.0607,13.84,31.85,36,100,5.68,NA
174,taoudenni,22.6783,-3.9836,23.17,34,100,7.07,ML
175,palmas,-10.2128,-48.3603,26.16,85,100,1.58,BR
176,okha,53.5739,142.9478,-27.88,99,19,2.46,RU
177,sao vicente,-23.9631,-46.3919,27.87,63,0,2.43,BR
178,bilibino,68.0546,166.4372,-28.65,100,87,1.2,RU
179,bikenibeu village,1.3673,173.1241,26.55,85,0,7.19,KI
180,sosnovka,56.255,51.2842,-1.4,97,100,2.06,RU
181,portland,45.5234,-122.6762,3.63,90,3,1.6,US
182,isangel,-19.55,169.2667,24.12,81,12,2.98,VU
183,villagarzon,1.0375,-76.6267,21.65,91,100,0.37,CO
184,miharu,37.4333,140.4833,-2.0,92,15,2.8,JP
185,fort st. john,56.2499,-120.8529,-4.86,97,9,1.3,CA
186,timiryazevskoye,56.49,84.8769,-4.39,89,100,4.19,RU
187,vojens,55.2464,9.306,12.25,50,0,6.48,DK
188,barcelos,41.5388,-8.6151,13.37,92,100,3.6,PT
189,ust-nera,64.5667,143.2,-26.11,100,100,0.48,RU
190,moussoro,13.6408,16.4901,37.35,6,86,8.18,TD
191,parral,26.9333,-105.6667,11.35,16,99,1.81,MX
192,tazacorte,28.629,-17.9293,18.31,69,15,4.94,ES
193,fale old settlement,-9.3852,-171.2468,27.82,69,43,1.36,TK
194,las palmas,28.4204,-14.0131,17.8,56,0,5.34,ES
195,port isabel,26.0734,-97.2086,17.81,75,0,5.34,US
196,khovd,48.0056,91.6419,-16.17,94,68,0.98,MN
197,howard springs,-12.497,131.047,27.08,85,9,2.12,AU
198,afaahiti,-17.75,-149.2833,26.79,70,88,2.03,PF
199,thala,35.5724,8.6703,9.14,93,100,10.14,TN
